event_date,event_type,sub_event_type,latitude,longitude,fatalities
2024-10-14,Battles,Armed clash,47.9636,37.4383,2
2024-10-14,Battles,Armed clash,48.0307,37.3728,3
2024-10-14,Battles,Armed clash,48.0546,37.2906,3
2024-10-17,Battles,Armed clash,47.9636,37.4383,9
2024-10-17,Battles,Armed clash,47.9935,37.4014,9
2024-10-14,Battles,Armed clash,48.0355,37.3966,2
2024-10-17,Battles,Armed clash,48.0355,37.3966,9
2024-10-18,Battles,Armed clash,48.0546,37.2906,7
2024-10-18,Battles,Armed clash,47.9636,37.4383,7
2024-10-19,Explosions/Remote violence,Air/drone strike,51.2698,34.21,0
2024-10-19,Explosions/Remote violence,Air/drone strike,51.4067,34.2031,0
2024-10-19,Explosions/Remote violence,Air/drone strike,51.3666,34.2293,0
2024-10-19,Explosions/Remote violence,Air/drone strike,52.0296,34.0037,0
2024-10-19,Explosions/Remote violence,Air/drone strike,51.9549,34.1244,0
2024-10-19,Explosions/Remote violence,Air/drone strike,52.0145,31.7783,0
2024-10-19,Battles,Armed clash,47.9636,37.4383,0
2024-10-19,Battles,Armed clash,48.0565,37.3718,0
2024-10-19,Explosions/Remote violence,Air/drone strike,47.6639,36.2563,0
2024-10-19,Explosions/Remote violence,Air/drone strike,52.0031,32.1858,0
2024-10-19,Explosions/Remote violence,Air/drone strike,51.239,34.3766,0
2024-10-19,Explosions/Remote violence,Air/drone strike,52.2177,32.3804,0
2024-10-19,Explosions/Remote violence,Air/drone strike,48.4192,37.7561,0
2024-10-19,Explosions/Remote violence,Air/drone strike,49.9808,36.2527,0
2024-10-19,Battles,Armed clash,49.5713,37.7169,0
2024-10-19,Explosions/Remote violence,Air/drone strike,51.7988,34.327,0
2024-10-19,Explosions/Remote violence,Shelling/artillery/missile attack,47.9093,33.3933,0
2024-10-19,Battles,Armed clash,48.0307,37.3728,0
2024-10-19,Explosions/Remote violence,Air/drone strike,50.4003,30.6807,0
2024-10-19,Explosions/Remote violence,Air/drone strike,50.3299,35.7212,0
2024-10-19,Explosions/Remote violence,Air/drone strike,47.7457,36.5958,0
2024-10-19,Explosions/Remote violence,Air/drone strike,47.5222,35.441,0
2024-10-19,Battles,Armed clash,49.4663,37.8039,0
2024-10-19,Explosions/Remote violence,Shelling/artillery/missile attack,50.4462,35.4717,0
2024-10-19,Battles,Armed clash,48.2246,37.2648,0
2024-10-19,Battles,Armed clash,47.9749,37.3933,0
2024-10-19,Battles,Armed clash,47.5325,35.8978,0
2024-10-19,Explosions/Remote violence,Air/drone strike,47.5325,35.8978,0
2024-10-19,Explosions/Remote violence,Air/drone strike,47.6354,34.6277,0
2024-10-19,Explosions/Remote violence,Air/drone strike,52.2417,32.6379,0
2024-10-19,Battles,Armed clash,48.2986,37.3804,0
2024-10-19,Explosions/Remote violence,Air/drone strike,47.5621,35.6972,0
2024-10-19,Battles,Armed clash,49.6193,37.7098,0
2024-10-19,Explosions/Remote violence,Shelling/artillery/missile attack,48.0546,37.2906,0
2024-10-19,Battles,Armed clash,47.8375,37.1047,0
2024-10-19,Explosions/Remote violence,Shelling/artillery/missile attack,51.2224,34.6275,0
2024-10-19,Explosions/Remote violence,Shelling/artillery/missile attack,46.6138,32.112,0
2024-10-19,Explosions/Remote violence,Air/drone strike,51.1369,34.8668,0
2024-10-19,Explosions/Remote violence,Air/drone strike,50.9529,34.07,0
2024-10-19,Explosions/Remote violence,Shelling/artillery/missile attack,50.4966,35.4525,0
2024-10-19,Battles,Armed clash,48.2691,37.3179,0
2024-10-19,Explosions/Remote violence,Air/drone strike,47.4478,35.837,0
2024-10-19,Explosions/Remote violence,Shelling/artillery/missile attack,47.1221,33.7705,0
2024-10-19,Battles,Armed clash,48.1478,37.2977,0
2024-10-06,Violence against civilians,Attack,48.1478,37.2977,4
2024-10-19,Explosions/Remote violence,Air/drone strike,52.089,31.7781,0
2024-10-19,Battles,Armed clash,48.9211,38.1276,0
2024-10-19,Battles,Armed clash,48.3943,37.7901,0
2024-10-19,Explosions/Remote violence,Air/drone strike,51.863,33.4698,1
2024-10-19,Explosions/Remote violence,Shelling/artillery/missile attack,46.579,32.1496,0
2024-10-19,Explosions/Remote violence,Shelling/artillery/missile attack,51.2093,34.2886,0
2024-10-19,Explosions/Remote violence,Shelling/artillery/missile attack,51.373,34.1931,0
2024-10-19,Explosions/Remote violence,Air/drone strike,51.7244,34.4201,0
2024-10-19,Explosions/Remote violence,Air/drone strike,47.8453,36.8353,0
2024-10-19,Explosions/Remote violence,Air/drone strike,50.4243,35.4799,0
2024-10-19,Explosions/Remote violence,Air/drone strike,51.52,34.2598,0
2024-10-19,Battles,Armed clash,48.3034,37.5167,0
2024-10-19,Explosions/Remote violence,Air/drone strike,51.139,34.9732,0
2024-10-19,Explosions/Remote violence,Air/drone strike,52.2935,32.56,0
2024-10-19,Explosions/Remote violence,Air/drone strike,47.88,37.0303,1
2024-10-19,Explosions/Remote violence,Air/drone strike,47.8479,35.1602,0
2024-10-19,Battles,Armed clash,48.0591,37.417,0
2024-10-19,Explosions/Remote violence,Air/drone strike,51.2161,34.9866,0
2024-10-19,Battles,Armed clash,47.7943,36.9905,0
2024-10-21,Explosions/Remote violence,Shelling/artillery/missile attack,51.2311,34.2763,0
2024-10-21,Explosions/Remote violence,Air/drone strike,51.1856,35.0877,0
2024-10-21,Explosions/Remote violence,Air/drone strike,46.8415,33.4284,0
2024-10-21,Battles,Armed clash,48.7329,38.2154,0
2024-10-21,Explosions/Remote violence,Air/drone strike,51.6677,34.0631,0
2024-10-21,Explosions/Remote violence,Air/drone strike,51.1483,34.3008,0
2024-10-21,Explosions/Remote violence,Shelling/artillery/missile attack,51.2698,34.21,0
2024-10-21,Explosions/Remote violence,Air/drone strike,51.4067,34.2031,0
2024-10-21,Explosions/Remote violence,Air/drone strike,51.6783,34.0591,0
2024-10-21,Explosions/Remote violence,Air/drone strike,50.9999,34.9376,0
2024-10-21,Explosions/Remote violence,Air/drone strike,47.619,34.5369,0
2024-10-21,Explosions/Remote violence,Air/drone strike,52.0296,34.0037,0
2024-10-21,Battles,Armed clash,47.9451,37.2706,5
2024-10-21,Strategic developments,Disrupted weapons use,48.4593,35.0386,0
2024-10-21,Battles,Armed clash,49.4139,37.9524,0
2024-10-21,Battles,Armed clash,47.9636,37.4383,5
2024-10-21,Battles,Armed clash,48.0565,37.3718,5
2024-10-21,Explosions/Remote violence,Air/drone strike,50.2596,30.3059,0
2024-10-21,Explosions/Remote violence,Air/drone strike,50.3011,34.6713,0
2024-10-21,Battles,Armed clash,48.7248,37.8532,0
2024-10-21,Battles,Armed clash,47.9935,37.4014,0
2024-10-21,Explosions/Remote violence,Air/drone strike,47.6639,36.2563,0
2024-10-21,Explosions/Remote violence,Air/drone strike,48.4955,37.6677,0
2024-10-21,Explosions/Remote violence,Air/drone strike,48.1393,37.4412,0
2024-10-21,Explosions/Remote violence,Shelling/artillery/missile attack,52.264,33.289,0
2024-10-21,Explosions/Remote violence,Air/drone strike,49.9808,36.2527,0
2024-10-21,Explosions/Remote violence,Air/drone strike,51.5283,34.223,0
2024-10-21,Explosions/Remote violence,Air/drone strike,51.0786,34.78,0
2024-10-21,Battles,Armed clash,49.5713,37.7169,0
2024-10-21,Explosions/Remote violence,Air/drone strike,51.7988,34.327,0
2024-10-21,Battles,Armed clash,47.8659,37.4083,0
2024-10-21,Battles,Armed clash,48.2419,37.3372,15
2024-10-21,Battles,Armed clash,48.2323,37.3382,15
2024-10-21,Explosions/Remote violence,Shelling/artillery/missile attack,47.9093,33.3933,0
2024-10-21,Battles,Armed clash,48.0307,37.3728,0
2024-10-21,Battles,Armed clash,47.9836,37.2823,0
2024-10-21,Explosions/Remote violence,Air/drone strike,47.9836,37.2823,1
2024-10-21,Explosions/Remote violence,Air/drone strike,46.6528,31.6178,0
2024-10-21,Explosions/Remote violence,Air/drone strike,50.4496,30.5224,0
2024-10-21,Explosions/Remote violence,Air/drone strike,47.7457,36.5958,0
2024-10-21,Explosions/Remote violence,Air/drone strike,47.5222,35.441,0
2024-10-21,Explosions/Remote violence,Air/drone strike,50.4462,35.4717,0
2024-10-21,Battles,Armed clash,48.2246,37.2648,15
2024-10-21,Battles,Armed clash,47.9749,37.3933,5
2024-10-21,Battles,Armed clash,47.5325,35.8978,3
2024-10-21,Explosions/Remote violence,Air/drone strike,47.6354,34.6277,0
2024-10-21,Battles,Armed clash,48.1366,37.376,15
2024-10-21,Explosions/Remote violence,Air/drone strike,52.3128,33.2108,0
2024-10-21,Explosions/Remote violence,Air/drone strike,47.7334,35.8978,0
2024-10-21,Strategic developments,Disrupted weapons use,46.9672,32.0183,0
2024-10-21,Explosions/Remote violence,Air/drone strike,52.2417,32.6379,0
2024-10-21,Battles,Armed clash,48.2986,37.3804,16
2024-10-21,Explosions/Remote violence,Air/drone strike,47.7697,34.7311,0
2024-10-21,Battles,Armed clash,48.3515,37.837,0
2024-10-21,Explosions/Remote violence,Air/drone strike,52.2723,33.8472,0
2024-10-21,Explosions/Remote violence,Air/drone strike,51.2223,35.1055,0
2024-10-21,Explosions/Remote violence,Air/drone strike,47.5621,35.6972,0
2024-10-21,Explosions/Remote violence,Air/drone strike,47.5242,35.8235,0
2024-10-21,Battles,Armed clash,49.6193,37.7098,0
2024-10-21,Explosions/Remote violence,Air/drone strike,47.8375,37.1047,1
2024-10-21,Explosions/Remote violence,Air/drone strike,47.5004,33.9175,0
2024-10-21,Strategic developments,Disrupted weapons use,46.4639,30.7386,0
2024-10-21,Explosions/Remote violence,Air/drone strike,50.4527,35.5367,0
2024-10-21,Explosions/Remote violence,Air/drone strike,48.2816,37.7747,0
2024-10-21,Explosions/Remote violence,Air/drone strike,50.18,28.7355,0
2024-10-21,Explosions/Remote violence,Air/drone strike,48.7676,37.9755,0
2024-10-21,Battles,Armed clash,48.7717,38.0635,0
2024-10-21,Explosions/Remote violence,Air/drone strike,51.9691,31.7271,0
2024-10-21,Strategic developments,Disrupted weapons use,49.5937,34.5407,0
2024-10-21,Explosions/Remote violence,Air/drone strike,50.4138,35.5464,0
2024-10-10,Explosions/Remote violence,Shelling/artillery/missile attack,48.5956,37.9999,0
2024-10-18,Violence against civilians,Attack,48.1478,37.2977,2
2024-10-21,Explosions/Remote violence,Air/drone strike,50.4966,35.4525,0
2024-10-21,Battles,Armed clash,48.2691,37.3179,15
2024-10-21,Explosions/Remote violence,Shelling/artillery/missile attack,51.8469,34.1325,0
2024-10-21,Explosions/Remote violence,Air/drone strike,51.1197,34.4947,0
2024-10-21,Battles,Armed clash,47.4478,35.837,0
2024-10-21,Explosions/Remote violence,Air/drone strike,50.3406,35.4309,0
2024-10-21,Explosions/Remote violence,Shelling/artillery/missile attack,51.4193,34.0026,0
2024-10-21,Battles,Armed clash,48.1478,37.2977,15
2024-10-21,Battles,Armed clash,48.3943,37.7901,3
2024-10-21,Battles,Armed clash,49.4689,37.9059,0
2024-10-21,Explosions/Remote violence,Shelling/artillery/missile attack,51.184,33.7337,0
2024-10-21,Explosions/Remote violence,Shelling/artillery/missile attack,51.2093,34.2886,0
2024-10-21,Battles,Armed clash,48.2326,37.2703,0
2024-10-21,Explosions/Remote violence,Shelling/artillery/missile attack,52.2958,32.4303,0
2024-10-21,Explosions/Remote violence,Air/drone strike,50.4243,35.4799,0
2024-10-21,Explosions/Remote violence,Shelling/artillery/missile attack,50.4302,35.4021,0
2024-10-21,Strategic developments,Disrupted weapons use,49.2296,28.4659,0
2024-10-21,Explosions/Remote violence,Air/drone strike,51.243,34.4629,0
2024-10-21,Battles,Armed clash,48.4977,38.29,16
2024-10-21,Battles,Armed clash,49.4069,37.8589,0
2024-10-21,Explosions/Remote violence,Remote explosive/landmine/IED,47.2611,32.8232,0
2024-10-21,Explosions/Remote violence,Air/drone strike,52.2935,32.56,0
2024-10-21,Explosions/Remote violence,Air/drone strike,51.1213,35.0342,0
2024-10-21,Explosions/Remote violence,Shelling/artillery/missile attack,47.8479,35.1602,3
2024-10-21,Strategic developments,Disrupted weapons use,50.2649,28.6767,0
2024-10-21,Battles,Armed clash,48.6926,38.5145,0
2024-10-20,Explosions/Remote violence,Air/drone strike,50.5858,33.5466,0
2024-10-20,Explosions/Remote violence,Shelling/artillery/missile attack,51.7784,34.4138,0
2024-10-20,Explosions/Remote violence,Air/drone strike,51.2698,34.21,0
2024-10-20,Explosions/Remote violence,Air/drone strike,52.2457,33.0549,0
2024-10-20,Explosions/Remote violence,Air/drone strike,51.3666,34.2293,0
2024-10-20,Explosions/Remote violence,Shelling/artillery/missile attack,47.619,34.5369,0
2024-10-20,Strategic developments,Disrupted weapons use,48.4593,35.0386,0
2024-10-20,Battles,Armed clash,48.0565,37.3718,0
2024-10-20,Explosions/Remote violence,Air/drone strike,47.6639,36.2563,0
2024-10-20,Explosions/Remote violence,Shelling/artillery/missile attack,52.0031,32.1858,0
2024-10-20,Explosions/Remote violence,Air/drone strike,48.0099,37.3052,0
2024-10-20,Explosions/Remote violence,Air/drone strike,49.9808,36.2527,0
2024-10-20,Explosions/Remote violence,Shelling/artillery/missile attack,51.8883,34.0563,0
2024-10-20,Battles,Armed clash,49.5713,37.7169,0
2024-10-20,Battles,Armed clash,47.8659,37.4083,0
2024-10-20,Explosions/Remote violence,Shelling/artillery/missile attack,47.9093,33.3933,0
2024-10-20,Explosions/Remote violence,Air/drone strike,46.6528,31.6178,0
2024-10-20,Strategic developments,Disrupted weapons use,50.4496,30.5224,0
2024-10-20,Protests,Peaceful protest,50.4003,30.6807,0
2024-10-20,Explosions/Remote violence,Air/drone strike,50.3299,35.7212,0
2024-10-20,Explosions/Remote violence,Air/drone strike,47.7457,36.5958,0
2024-10-20,Battles,Armed clash,48.0965,37.3796,0
2024-10-20,Explosions/Remote violence,Air/drone strike,52.1792,32.4385,0
2024-10-20,Strategic developments,Disrupted weapons use,49.8407,24.0305,0
2024-10-20,Explosions/Remote violence,Air/drone strike,50.5643,33.7979,0
2024-10-20,Battles,Armed clash,50.2037,36.4077,0
2024-10-20,Battles,Armed clash,47.9749,37.3933,0
2024-10-20,Explosions/Remote violence,Air/drone strike,51.4896,34.2315,0
2024-10-20,Explosions/Remote violence,Shelling/artillery/missile attack,47.6354,34.6277,0
2024-10-20,Explosions/Remote violence,Shelling/artillery/missile attack,52.0308,31.7396,0
2024-10-20,Battles,Armed clash,48.1366,37.376,37
2024-10-20,Strategic developments,Disrupted weapons use,46.9672,32.0183,0
2024-10-20,Protests,Peaceful protest,46.9672,32.0183,0
2024-10-20,Battles,Armed clash,48.2986,37.3804,37
2024-10-20,Battles,Armed clash,48.3515,37.837,0
2024-10-20,Explosions/Remote violence,Air/drone strike,47.5621,35.6972,0
2024-10-20,Explosions/Remote violence,Air/drone strike,47.5242,35.8235,0
2024-10-20,Explosions/Remote violence,Air/drone strike,47.7807,36.6353,0
2024-10-20,Explosions/Remote violence,Shelling/artillery/missile attack,51.1564,34.9015,0
2024-10-20,Battles,Armed clash,47.8375,37.1047,0
2024-10-20,Explosions/Remote violence,Air/drone strike,51.2224,34.6275,0
2024-10-20,Strategic developments,Disrupted weapons use,46.4639,30.7386,0
2024-10-20,Explosions/Remote violence,Shelling/artillery/missile attack,46.4639,30.7386,0
